platform;programId;trackingLink;params;redirector
DE;15333;http://partners.webmasterplan.com/click.aspx?site=15333&ref=[ref]&type=text&tnb=76&diurl=[deeplink];;
DE;8882;http://partners.webmasterplan.com/click.aspx?site=8882&ref=[ref]&type=text&tnb=313&diurl=[deeplink];;
DE;9853;http://partners.webmasterplan.com/click.aspx?site=9853&ref=[ref]&type=text&tnb=180&diurl=[deeplink];rbtc=aff|con|$ref$||||;
DE;4614;http://partners.webmasterplan.com/click.aspx?site=4614&ref=[ref]&type=text&tnb=51&diurl=[deeplink];;
DE;15428;http://partners.webmasterplan.com/click.aspx?site=15428&ref=[ref]&type=text&tnb=23&diurl=[deeplink];utm_source=affilinet&utm_campaign=Product_Datenfeed&utm_medium=affiliate&utm_content=Deeplink_Generator;
DE;5247;http://partners.webmasterplan.com/click.aspx?site=5247&ref=[ref]&type=text&tnb=16&diurl=[deeplink];c=affiliate.quisma&wt_mc=017_1800_001_006_002_000;
DE;7520;http://partners.webmasterplan.com/click.aspx?site=7520&ref=[ref]&type=text&tnb=115&diurl=[deeplink];mc=affiliate.affilinet.allgemein.banner;
DE;8948;http://partners.webmasterplan.com/click.aspx?site=8948&ref=[ref]&type=text&tnb=62&diurl=[deeplink];i=click&client=reichelt&camp=logo&l=de&nw=3iel;
DE;9387;http://partners.webmasterplan.com/click.aspx?site=9387&ref=[ref]&type=text&tnb=11&diurl=[deeplink];utm_medium=textlink&utm_campaign=deeplink-generator;
DE;16766;http://partners.webmasterplan.com/click.aspx?site=16766&ref=[ref]&type=text&tnb=4&diurl=[deeplink];;
DE;2400;http://partners.webmasterplan.com/click.aspx?site=2400&ref=[ref]&type=text&tnb=153&diurl=[deeplink];;
DE;3060;http://partners.webmasterplan.com/click.aspx?site=3060&ref=[ref]&type=text&tnb=202&diurl=[deeplink];;
DE;3086;http://partners.webmasterplan.com/click.aspx?site=3086&ref=[ref]&type=text&tnb=163&diurl=[deeplink];expa=AN;
DE;6958;http://partners.webmasterplan.com/click.aspx?site=6958&ref=[ref]&type=text&tnb=232&diurl=[deeplink];;
DE;7766;http://partners.webmasterplan.com/click.aspx?site=7766&ref=[ref]&type=text&tnb=298&diurl=[deeplink];;
DE;11097;http://partners.webmasterplan.com/click.aspx?site=11097&ref=[ref]&type=text&tnb=124&diurl=[deeplink];;
DE;13048;http://partners.webmasterplan.com/click.aspx?site=13048&ref=[ref]&type=text&tnb=77&diurl=[deeplink];utm_source=affilinet&utm_medium=affiliation&utm_campaign=standard;
DE;3174;http://partners.webmasterplan.com/click.aspx?site=3174&ref=[ref]&type=text&tnb=178&diurl=[deeplink];wt_mc=aff.affiliate.$ref$.tl-generator.;https://m.exactag.com/cl.aspx?tc=567bdc85f77ca4a130901a3c8604c31f&cinfo=$affmn$|$affmt$&ref=$ref$&url=
DE;3257;http://partners.webmasterplan.com/click.aspx?site=3257&ref=[ref]&type=text&tnb=188&diurl=[deeplink];mlid=affilinet;
DE;4823;http://partners.webmasterplan.com/click.aspx?site=4823&ref=[ref]&type=text&tnb=74&diurl=[deeplink];nsctrid=1111111111&ori=af;
DE;7075;http://partners.webmasterplan.com/click.aspx?site=7075&ref=[ref]&type=text&tnb=248&diurl=[deeplink];;
DE;10317;http://partners.webmasterplan.com/click.aspx?site=10317&ref=[ref]&type=text&tnb=170&diurl=[deeplink];;
DE;16546;http://partners.webmasterplan.com/click.aspx?site=16546&ref=[ref]&type=text&tnb=8&diurl=[deeplink];;
DE;4084;http://partners.webmasterplan.com/click.aspx?site=4084&ref=[ref]&type=text&tnb=85&diurl=[deeplink];lkz=225742;
DE;9806;http://partners.webmasterplan.com/click.aspx?site=9806&ref=[ref]&type=text&tnb=61&diurl=[deeplink];utm_source=Affiliate&utm_medium=Referrer&utm_campaign=Sale&utm_content=Sale&adword=affilinet;
DE;13389;http://partners.webmasterplan.com/click.aspx?site=13389&ref=[ref]&type=text&tnb=49&diurl=[deeplink];lkz=248836;
DE;13894;http://partners.webmasterplan.com/click.aspx?site=13894&ref=[ref]&type=text&tnb=67&diurl=[deeplink];wt_mc=affiliate_marketing.affiliate_marketing.afm_at&utm_source=afm&utm_medium=afm&utm_campaign=default;
DE;14820;http://partners.webmasterplan.com/click.aspx?site=14820&ref=[ref]&type=text&tnb=17&diurl=[deeplink];lkz=391957;
DE;11679;http://partners.webmasterplan.com/click.aspx?site=11679&ref=[ref]&type=text&tnb=20&diurl=[deeplink];;
DE;9695;http://partners.webmasterplan.com/click.aspx?site=9695&ref=[ref]&type=text&tnb=196&diurl=[deeplink];;
DE;3928;http://partners.webmasterplan.com/click.aspx?site=3928&ref=[ref]&type=text&tnb=221&diurl=[deeplink];etcc_cmp=textlink;
